               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  34,            0.050716,          0.00070294,           0.0051879,             0.49231,             0.21344,             0.23882,             0.10767,            0.012397,           0.0021212,           0.0015675,           0.0028723,           0.0028723,           0.0028723
                  35,            0.050792,          0.00069206,           0.0051811,             0.49306,             0.21437,             0.23949,             0.10805,            0.012392,           0.0021203,           0.0015648,           0.0028581,           0.0028581,           0.0028581
                  36,            0.050959,          0.00070413,           0.0051826,             0.49207,             0.21467,             0.23988,             0.10834,            0.012387,           0.0021201,           0.0015641,            0.002844,            0.002844,            0.002844
                  37,            0.050855,          0.00071598,           0.0052109,             0.49396,             0.21491,             0.24048,             0.10848,            0.012383,           0.0021203,           0.0015625,           0.0028298,           0.0028298,           0.0028298
                  38,            0.050641,          0.00068851,           0.0051218,             0.49874,             0.21567,             0.24104,             0.10885,            0.012379,           0.0021182,             0.00156,           0.0028156,           0.0028156,           0.0028156
                  39,            0.050721,          0.00069546,           0.0051545,             0.49354,             0.21702,             0.24148,             0.10918,            0.012375,           0.0021163,           0.0015584,           0.0028014,           0.0028014,           0.0028014
                  40,            0.050499,          0.00069231,           0.0051444,              0.4924,             0.21808,             0.24206,             0.10952,            0.012369,           0.0021175,            0.001556,           0.0027873,           0.0027873,           0.0027873
                  41,            0.050348,          0.00069992,           0.0050495,             0.49738,             0.21825,             0.24294,             0.10969,            0.012366,           0.0021181,           0.0015534,           0.0027731,           0.0027731,           0.0027731
                  42,            0.050373,          0.00070085,           0.0050956,             0.50307,             0.21837,             0.24353,             0.10996,            0.012361,           0.0021169,           0.0015524,           0.0027589,           0.0027589,           0.0027589
                  43,            0.050783,          0.00069082,           0.0050954,             0.50328,             0.21836,             0.24401,             0.11023,            0.012356,           0.0021138,            0.001552,           0.0027448,           0.0027448,           0.0027448
                  44,            0.050409,          0.00069791,           0.0050572,             0.50441,             0.21838,             0.24404,             0.11044,            0.012352,           0.0021122,           0.0015517,           0.0027306,           0.0027306,           0.0027306
                  45,            0.050564,          0.00069854,           0.0050705,             0.51959,             0.21846,             0.24445,              0.1106,             0.01235,           0.0021126,           0.0015493,           0.0027164,           0.0027164,           0.0027164
                  46,            0.050418,          0.00069787,            0.005015,             0.51489,             0.21932,             0.24506,             0.11089,            0.012348,            0.002113,            0.001547,           0.0027022,           0.0027022,           0.0027022
                  47,             0.05046,           0.0006971,           0.0050219,             0.51199,             0.21975,              0.2452,             0.11116,            0.012348,           0.0021128,           0.0015456,           0.0026881,           0.0026881,           0.0026881
                  48,            0.050264,          0.00070606,            0.005011,             0.51503,             0.21989,             0.24526,             0.11122,            0.012347,           0.0021141,           0.0015453,           0.0026739,           0.0026739,           0.0026739
                  49,            0.050231,          0.00068794,           0.0049554,             0.49962,             0.21988,             0.24539,             0.11137,            0.012343,           0.0021142,           0.0015444,           0.0026597,           0.0026597,           0.0026597
                  50,            0.050099,          0.00069212,           0.0049439,             0.50457,             0.22028,             0.24569,             0.11146,            0.012342,           0.0021148,           0.0015432,           0.0026455,           0.0026455,           0.0026455
                  51,            0.050155,          0.00068649,           0.0050312,             0.50663,             0.22002,             0.24589,             0.11159,             0.01234,           0.0021139,           0.0015432,           0.0026314,           0.0026314,           0.0026314
                  52,            0.050179,          0.00069792,           0.0049999,             0.53805,             0.22056,             0.24628,             0.11175,            0.012337,           0.0021139,           0.0015432,           0.0026172,           0.0026172,           0.0026172
                  53,            0.049936,          0.00070247,           0.0049321,             0.54113,             0.22091,             0.24648,             0.11188,            0.012336,           0.0021152,           0.0015441,            0.002603,            0.002603,            0.002603
                  54,            0.049922,          0.00068766,           0.0049167,             0.53947,             0.22071,             0.24681,             0.11217,            0.012334,           0.0021169,            0.001543,           0.0025889,           0.0025889,           0.0025889
                  55,            0.050134,          0.00069665,           0.0049598,             0.55058,             0.22112,             0.24746,             0.11231,            0.012331,           0.0021173,           0.0015425,           0.0025747,           0.0025747,           0.0025747
                  56,             0.05006,          0.00069611,           0.0049535,             0.54182,             0.22182,             0.24743,             0.11249,             0.01233,            0.002118,           0.0015435,           0.0025605,           0.0025605,           0.0025605
                  57,            0.049951,          0.00070272,           0.0049272,             0.55144,             0.22179,             0.24778,             0.11263,             0.01233,           0.0021183,           0.0015427,           0.0025463,           0.0025463,           0.0025463
                  58,            0.049931,          0.00068128,           0.0048893,             0.55007,             0.22138,             0.24819,              0.1128,            0.012328,           0.0021179,           0.0015436,           0.0025322,           0.0025322,           0.0025322
                  59,            0.050105,          0.00069608,            0.004953,              0.5471,             0.22179,              0.2483,             0.11285,            0.012327,           0.0021186,           0.0015439,            0.002518,            0.002518,            0.002518
                  60,             0.05001,          0.00069796,           0.0049445,             0.55471,             0.22274,             0.24823,             0.11271,            0.012325,           0.0021179,           0.0015424,           0.0025038,           0.0025038,           0.0025038
                  61,            0.050044,          0.00070126,           0.0048928,             0.54694,             0.22291,             0.24849,             0.11275,            0.012322,           0.0021191,            0.001542,           0.0024897,           0.0024897,           0.0024897
                  62,            0.050011,          0.00069865,           0.0049001,             0.54779,             0.22299,             0.24821,             0.11269,            0.012322,           0.0021199,           0.0015425,           0.0024755,           0.0024755,           0.0024755
                  63,             0.04992,          0.00068823,           0.0048928,             0.54952,             0.22312,             0.24854,             0.11277,            0.012321,           0.0021202,           0.0015417,           0.0024613,           0.0024613,           0.0024613
                  64,            0.049966,          0.00069006,           0.0049054,             0.54739,             0.22318,             0.24877,             0.11289,            0.012319,           0.0021202,           0.0015417,           0.0024471,           0.0024471,           0.0024471
                  65,            0.049845,          0.00068109,           0.0048925,             0.54507,             0.22321,             0.24858,             0.11291,            0.012318,           0.0021194,           0.0015426,            0.002433,            0.002433,            0.002433
                  66,            0.049831,          0.00068601,            0.004866,              0.5454,             0.22267,             0.24851,              0.1129,            0.012318,           0.0021193,           0.0015446,           0.0024188,           0.0024188,           0.0024188
                  67,            0.049822,          0.00069742,           0.0048099,             0.53729,             0.22282,             0.24832,             0.11265,            0.012318,           0.0021184,           0.0015467,           0.0024046,           0.0024046,           0.0024046
                  68,            0.049579,          0.00068997,           0.0048243,             0.53449,             0.22301,             0.24828,              0.1127,            0.012317,           0.0021166,            0.001548,           0.0023904,           0.0023904,           0.0023904
                  69,            0.049928,          0.00069234,           0.0048476,             0.53972,             0.22281,             0.24827,             0.11273,            0.012317,           0.0021158,           0.0015483,           0.0023763,           0.0023763,           0.0023763
                  70,            0.050089,          0.00068944,           0.0049079,             0.54602,             0.22232,             0.24835,             0.11283,            0.012313,           0.0021153,            0.001548,           0.0023621,           0.0023621,           0.0023621
                  71,            0.049904,          0.00068969,           0.0048147,              0.5433,             0.22259,             0.24861,             0.11295,            0.012313,            0.002114,            0.001548,           0.0023479,           0.0023479,           0.0023479
                  72,            0.049458,          0.00069156,           0.0047915,             0.53676,             0.22156,             0.24891,             0.11299,             0.01231,           0.0021138,           0.0015501,           0.0023338,           0.0023338,           0.0023338
                  73,            0.049839,           0.0007004,           0.0047808,             0.53932,             0.22205,             0.24906,             0.11329,            0.012307,           0.0021139,           0.0015515,           0.0023196,           0.0023196,           0.0023196
                  74,            0.049781,          0.00069924,           0.0048301,             0.52776,             0.22231,             0.24944,             0.11351,            0.012304,           0.0021144,           0.0015521,           0.0023054,           0.0023054,           0.0023054
                  75,            0.049825,          0.00068747,           0.0048366,             0.53782,              0.2226,             0.25006,             0.11371,              0.0123,           0.0021142,           0.0015513,           0.0022912,           0.0022912,           0.0022912
                  76,            0.049843,          0.00068603,           0.0048082,             0.54161,             0.22253,             0.25017,             0.11391,            0.012297,           0.0021143,           0.0015476,           0.0022771,           0.0022771,           0.0022771
                  77,            0.049597,          0.00068877,           0.0048017,             0.54149,             0.22248,             0.25029,             0.11404,            0.012294,           0.0021149,           0.0015466,           0.0022629,           0.0022629,           0.0022629
