               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.068148,           0.0020431,            0.005709,             0.76173,             0.53031,             0.57608,             0.34871,            0.063725,            0.018053,           0.0049594,            0.002216,            0.002216,            0.002216
                  36,            0.068522,            0.002039,           0.0057591,             0.76484,             0.53098,             0.57723,             0.34975,            0.063664,            0.018025,           0.0049378,           0.0022053,           0.0022053,           0.0022053
                  37,            0.068311,           0.0020284,           0.0056599,             0.76927,             0.53277,             0.57943,             0.35097,            0.063604,            0.017998,           0.0049153,           0.0021945,           0.0021945,           0.0021945
                  38,            0.068172,           0.0020494,           0.0056801,             0.76298,              0.5361,             0.57954,             0.35156,            0.063554,             0.01797,           0.0048939,           0.0021838,           0.0021838,           0.0021838
                  39,            0.068563,           0.0020631,           0.0057145,             0.76552,             0.53458,             0.58107,             0.35244,            0.063505,            0.017945,           0.0048739,           0.0021731,           0.0021731,           0.0021731
                  40,            0.068028,           0.0020437,           0.0056084,              0.7623,             0.53727,             0.58281,             0.35348,            0.063463,            0.017924,           0.0048542,           0.0021624,           0.0021624,           0.0021624
                  41,            0.067936,           0.0020325,           0.0056016,             0.75871,             0.53848,             0.58277,             0.35385,             0.06342,            0.017903,           0.0048385,           0.0021517,           0.0021517,           0.0021517
                  42,            0.067254,           0.0020028,           0.0054924,             0.75927,             0.53985,             0.58386,             0.35461,             0.06339,            0.017886,           0.0048236,            0.002141,            0.002141,            0.002141
                  43,            0.067618,           0.0020124,           0.0055334,             0.76205,             0.54027,             0.58568,              0.3557,            0.063355,            0.017868,           0.0048102,           0.0021303,           0.0021303,           0.0021303
                  44,            0.067652,           0.0020173,           0.0055267,             0.76095,             0.54303,             0.58642,             0.35658,            0.063329,            0.017849,           0.0047979,           0.0021196,           0.0021196,           0.0021196
                  45,            0.067896,           0.0020456,           0.0055053,             0.76265,             0.53958,             0.58591,             0.35719,            0.063289,            0.017834,           0.0047856,           0.0021089,           0.0021089,           0.0021089
                  46,            0.067681,           0.0020107,           0.0054539,             0.76268,             0.54013,             0.58705,              0.3578,            0.063253,            0.017805,            0.004771,           0.0020982,           0.0020982,           0.0020982
                  47,            0.067567,           0.0020141,           0.0054271,             0.76296,             0.54207,              0.5886,             0.35817,            0.063214,            0.017782,            0.004759,           0.0020875,           0.0020875,           0.0020875
                  48,            0.067785,           0.0020212,           0.0054606,             0.76206,              0.5448,             0.58895,             0.35901,            0.063186,            0.017762,           0.0047445,           0.0020768,           0.0020768,           0.0020768
                  49,            0.067376,           0.0020103,           0.0054346,             0.76446,             0.54569,             0.59016,             0.35962,            0.063168,             0.01775,           0.0047319,           0.0020661,           0.0020661,           0.0020661
                  50,            0.067252,           0.0019847,           0.0053593,             0.76571,             0.54581,             0.59066,             0.36017,            0.063136,             0.01773,           0.0047207,           0.0020554,           0.0020554,           0.0020554
                  51,            0.067303,            0.001979,            0.005377,             0.76733,             0.54684,             0.59177,             0.36113,            0.063108,            0.017706,           0.0047119,           0.0020446,           0.0020446,           0.0020446
                  52,             0.06713,           0.0019951,           0.0053397,             0.76869,             0.54778,             0.59244,              0.3615,            0.063069,            0.017685,           0.0047029,           0.0020339,           0.0020339,           0.0020339
                  53,            0.067254,           0.0020051,           0.0053472,              0.7683,             0.54813,             0.59338,             0.36221,            0.063033,            0.017668,           0.0046961,           0.0020232,           0.0020232,           0.0020232
                  54,            0.067361,           0.0020054,           0.0053723,             0.77003,             0.54726,             0.59451,             0.36265,            0.063007,            0.017643,           0.0046862,           0.0020125,           0.0020125,           0.0020125
                  55,            0.067025,           0.0019728,           0.0053166,             0.77306,             0.54484,             0.59289,             0.36268,            0.062978,            0.017624,           0.0046731,           0.0020018,           0.0020018,           0.0020018
