                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.00074,                0.13687,                0.09068,                0.53788,                0.22015,                0.24117,                0.12101,                0.00399,                 0.3512,                0.09806,              0.0023763,              0.0023763,              0.0023763
                     37,                0.00074,                0.13785,                0.09069,                  0.529,                0.22052,                 0.2423,                0.12132,                0.00398,                0.35077,                0.09789,              0.0023479,              0.0023479,              0.0023479
                     38,                0.00073,                0.13614,                0.09075,                0.53452,                0.22025,                0.24141,                0.12056,                0.00398,                 0.3504,                0.09789,              0.0023196,              0.0023196,              0.0023196
                     39,                0.00073,                0.13618,                0.09073,                0.54016,                0.21997,                0.24157,                0.12031,                0.00398,                0.35032,                 0.0979,              0.0022912,              0.0022912,              0.0022912
                     40,                0.00074,                0.13654,                0.09072,                0.53992,                0.21951,                0.24234,                0.12038,                0.00398,                0.35052,                 0.0979,              0.0022629,              0.0022629,              0.0022629
                     41,                0.00074,                0.13685,                0.09089,                 0.5466,                0.21971,                 0.2441,                0.12051,                0.00399,                0.35049,                0.09796,              0.0022345,              0.0022345,              0.0022345
                     42,                0.00073,                0.13575,                0.09067,                0.55547,                0.22202,                 0.2452,                0.12103,                  0.004,                0.35036,                0.09807,              0.0022062,              0.0022062,              0.0022062
                     43,                0.00073,                0.13576,                0.09074,                0.55841,                0.22122,                0.24633,                0.12133,                0.00399,                0.34997,                0.09801,              0.0021779,              0.0021779,              0.0021779
                     44,                0.00073,                0.13437,                0.09058,                0.54993,                0.22177,                0.24576,                0.12137,                0.00398,                0.34899,                0.09792,              0.0021495,              0.0021495,              0.0021495
                     45,                0.00073,                0.13587,                0.09063,                0.53867,                 0.2213,                0.24449,                0.12074,                0.00398,                 0.3493,                0.09791,              0.0021212,              0.0021212,              0.0021212
                     46,                0.00073,                0.13411,                0.09068,                0.52361,                 0.2219,                0.24468,                0.12099,                0.00397,                0.34831,                0.09783,              0.0020928,              0.0020928,              0.0020928
                     47,                0.00073,                0.13375,                 0.0906,                0.51674,                0.22181,                0.24309,                0.12078,                0.00397,                0.34821,                 0.0978,              0.0020645,              0.0020645,              0.0020645
                     48,                0.00072,                0.13291,                0.09054,                0.52609,                0.22142,                0.24349,                0.12061,                0.00398,                0.34811,                0.09781,              0.0020361,              0.0020361,              0.0020361
                     49,                0.00072,                0.13202,                0.09053,                0.52819,                0.22049,                 0.2429,                0.12001,                0.00398,                0.34915,                0.09787,              0.0020078,              0.0020078,              0.0020078
                     50,                0.00073,                0.13236,                0.09058,                0.52297,                0.22004,                0.24186,                0.11975,                0.00399,                0.34968,                0.09783,              0.0019794,              0.0019794,              0.0019794
                     51,                0.00071,                0.13119,                0.09052,                0.53099,                0.22168,                0.24345,                0.12044,                0.00399,                0.34954,                0.09783,              0.0019511,              0.0019511,              0.0019511
                     52,                0.00072,                0.13115,                0.09042,                0.52877,                0.22036,                 0.2427,                0.12064,                0.00398,                 0.3493,                0.09777,              0.0019228,              0.0019228,              0.0019228
                     53,                0.00072,                0.13064,                0.09048,                0.53654,                0.22162,                0.24401,                0.12106,                0.00397,                0.34928,                0.09776,              0.0018944,              0.0018944,              0.0018944
                     54,                0.00071,                0.13051,                0.09035,                0.54031,                0.22331,                0.24568,                0.12173,                0.00396,                0.34944,                0.09758,              0.0018661,              0.0018661,              0.0018661
                     55,                0.00071,                 0.1288,                 0.0903,                0.54012,                0.22188,                0.24525,                0.12176,                0.00396,                  0.349,                0.09752,              0.0018377,              0.0018377,              0.0018377
                     56,                 0.0007,                0.12847,                0.09027,                0.52133,                 0.2218,                0.24562,                0.12214,                0.00395,                0.34801,                0.09742,              0.0018094,              0.0018094,              0.0018094
                     57,                 0.0007,                0.12826,                0.09031,                0.53247,                0.22264,                0.24568,                0.12233,                0.00395,                0.34804,                0.09737,               0.001781,               0.001781,               0.001781
                     58,                 0.0007,                0.12803,                0.09032,                0.54191,                0.22449,                 0.2473,                0.12319,                0.00394,                0.34784,                0.09733,              0.0017527,              0.0017527,              0.0017527
                     59,                0.00071,                0.12816,                0.09024,                0.53872,                0.22406,                 0.2474,                0.12404,                0.00394,                0.34766,                0.09731,              0.0017243,              0.0017243,              0.0017243
                     60,                 0.0007,                0.12762,                0.09013,                0.53996,                  0.223,                0.24692,                0.12351,                0.00394,                0.34734,                0.09728,               0.001696,               0.001696,               0.001696
                     61,                 0.0007,                0.12744,                0.09022,                0.53959,                0.22505,                0.24834,                0.12393,                0.00393,                0.34729,                0.09723,              0.0016677,              0.0016677,              0.0016677
                     62,                 0.0007,                 0.1273,                0.09023,                0.54978,                0.22615,                0.24873,                0.12398,                0.00393,                0.34792,                 0.0972,              0.0016393,              0.0016393,              0.0016393
                     63,                 0.0007,                0.12686,                0.09025,                0.55106,                0.22429,                0.24814,                0.12364,                0.00393,                0.34761,                0.09718,               0.001611,               0.001611,               0.001611
                     64,                0.00069,                 0.1259,                0.09013,                0.56798,                0.22503,                0.24969,                0.12387,                0.00393,                0.34713,                0.09711,              0.0015826,              0.0015826,              0.0015826
                     65,                 0.0007,                0.12593,                 0.0901,                0.56143,                0.22467,                0.24856,                0.12362,                0.00392,                0.34703,                0.09709,              0.0015543,              0.0015543,              0.0015543
                     66,                 0.0007,                0.12596,                0.09007,                0.54815,                0.22374,                0.24717,                0.12344,                0.00392,                0.34575,                0.09708,              0.0015259,              0.0015259,              0.0015259
                     67,                0.00069,                0.12402,                0.09003,                0.55023,                0.22232,                0.24685,                 0.1238,                0.00391,                0.34617,                0.09709,              0.0014976,              0.0014976,              0.0014976
                     68,                0.00069,                0.12436,                0.09004,                0.55417,                0.22362,                0.24867,                0.12433,                0.00391,                  0.346,                0.09706,              0.0014692,              0.0014692,              0.0014692
                     69,                 0.0007,                0.12517,                0.09004,                0.55441,                 0.2231,                 0.2478,                0.12423,                0.00391,                0.34572,                0.09708,              0.0014409,              0.0014409,              0.0014409
                     70,                0.00068,                0.12351,                0.09003,                0.54127,                0.22497,                0.24899,                0.12476,                0.00391,                0.34497,                0.09714,              0.0014125,              0.0014125,              0.0014125
                     71,                0.00068,                0.12172,                0.08983,                0.54352,                0.22344,                0.24783,                0.12454,                0.00391,                0.34534,                0.09714,              0.0013842,              0.0013842,              0.0013842
                     72,                0.00069,                0.12288,                0.08991,                0.54983,                0.22314,                 0.2479,                0.12444,                0.00391,                0.34509,                0.09719,              0.0013559,              0.0013559,              0.0013559
                     73,                0.00068,                0.12214,                0.08986,                0.54461,                0.22442,                0.24734,                0.12444,                 0.0039,                 0.3451,                0.09715,              0.0013275,              0.0013275,              0.0013275
                     74,                0.00068,                0.12172,                0.08988,                0.53429,                0.22593,                0.24873,                0.12499,                 0.0039,                0.34487,                 0.0971,              0.0012992,              0.0012992,              0.0012992
                     75,                0.00067,                0.11986,                0.08979,                0.53683,                0.22642,                0.24876,                0.12494,                 0.0039,                0.34423,                0.09712,              0.0012708,              0.0012708,              0.0012708
                     76,                0.00067,                0.11986,                0.08981,                0.54542,                0.22646,                0.24882,                  0.125,                0.00389,                0.34393,                  0.097,              0.0012425,              0.0012425,              0.0012425
                     77,                0.00067,                0.12058,                0.08973,                0.54126,                0.22739,                0.25041,                0.12564,                0.00388,                 0.3432,                0.09682,              0.0012141,              0.0012141,              0.0012141
                     78,                0.00067,                0.11996,                0.08966,                0.53997,                0.22741,                0.25141,                0.12567,                0.00388,                0.34303,                0.09681,              0.0011858,              0.0011858,              0.0011858
                     79,                0.00067,                 0.1194,                0.08975,                0.54018,                 0.2279,                0.25225,                0.12575,                0.00388,                0.34262,                0.09682,              0.0011574,              0.0011574,              0.0011574
                     80,                0.00067,                0.11964,                0.08973,                0.54517,                0.22829,                0.25193,                0.12565,                0.00388,                0.34297,                0.09694,              0.0011291,              0.0011291,              0.0011291
                     81,                0.00066,                0.11882,                0.08964,                 0.5455,                0.22647,                0.25131,                0.12505,                0.00389,                0.34314,                0.09697,              0.0011008,              0.0011008,              0.0011008
                     82,                0.00066,                0.11793,                0.08969,                0.54089,                0.22609,                0.25059,                0.12475,                 0.0039,                  0.344,                  0.097,              0.0010724,              0.0010724,              0.0010724
                     83,                0.00066,                0.11661,                0.08951,                0.55365,                0.22294,                0.25065,                 0.1252,                0.00389,                0.34372,                  0.097,              0.0010441,              0.0010441,              0.0010441
                     84,                0.00065,                0.11628,                0.08953,                0.54364,                0.22518,                0.25065,                0.12501,                0.00389,                0.34433,                0.09694,              0.0010157,              0.0010157,              0.0010157
