               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  30,            0.019738,           0.0011235,           0.0020691,             0.67676,             0.53884,             0.58304,             0.40365,           0.0074398,           0.0036667,           0.0023708,            0.002518,            0.002518,            0.002518
                  31,             0.01979,            0.001134,           0.0020569,             0.68167,             0.53888,             0.58334,             0.40401,           0.0074292,           0.0036635,           0.0023788,           0.0024897,           0.0024897,           0.0024897
                  32,            0.019654,           0.0011249,           0.0020504,             0.67999,             0.53775,             0.58194,             0.40319,           0.0074236,           0.0036623,           0.0024052,           0.0024613,           0.0024613,           0.0024613
                  33,            0.019447,           0.0011143,           0.0020412,             0.67977,             0.53601,             0.58084,             0.40233,           0.0074234,           0.0036648,           0.0024316,            0.002433,            0.002433,            0.002433
                  34,            0.019656,           0.0011232,           0.0020133,             0.68016,             0.53687,             0.58072,             0.40203,           0.0074213,           0.0036633,           0.0024497,           0.0024046,           0.0024046,           0.0024046
                  35,            0.019449,           0.0011119,           0.0020154,             0.67727,             0.53655,             0.58063,             0.40181,           0.0074247,           0.0036631,           0.0024587,           0.0023763,           0.0023763,           0.0023763
                  36,            0.019445,           0.0010999,           0.0020054,             0.67708,              0.5366,              0.5795,             0.40058,           0.0074312,           0.0036627,           0.0024763,           0.0023479,           0.0023479,           0.0023479
                  37,            0.019475,           0.0011067,           0.0020181,             0.67722,             0.53724,             0.57876,              0.3996,           0.0074366,           0.0036612,           0.0024978,           0.0023196,           0.0023196,           0.0023196
                  38,             0.01947,           0.0011069,           0.0020089,             0.68041,             0.53764,             0.57793,              0.3989,           0.0074378,           0.0036598,           0.0025165,           0.0022912,           0.0022912,           0.0022912
                  39,            0.019465,            0.001091,            0.001996,             0.68146,              0.5358,             0.57694,             0.39843,           0.0074212,           0.0036606,           0.0025442,           0.0022629,           0.0022629,           0.0022629
                  40,            0.019329,           0.0010935,           0.0019667,             0.68027,             0.53533,             0.57662,             0.39834,           0.0074101,           0.0036626,           0.0025633,           0.0022345,           0.0022345,           0.0022345
                  41,            0.019414,           0.0010984,           0.0019953,             0.68021,             0.53492,             0.57725,             0.39919,           0.0074002,           0.0036651,           0.0025611,           0.0022062,           0.0022062,           0.0022062
                  42,             0.01939,           0.0010901,           0.0019856,             0.68166,             0.53456,             0.57641,             0.39884,           0.0073838,           0.0036665,           0.0025765,           0.0021779,           0.0021779,           0.0021779
                  43,            0.019226,           0.0010864,           0.0019762,             0.68604,             0.53358,             0.57772,             0.39982,            0.007376,            0.003669,           0.0025742,           0.0021495,           0.0021495,           0.0021495
                  44,            0.019263,           0.0010933,            0.001984,             0.68766,              0.5344,             0.57736,             0.39967,           0.0073703,           0.0036727,           0.0025881,           0.0021212,           0.0021212,           0.0021212
                  45,            0.019155,           0.0010828,           0.0019433,             0.68653,             0.53447,             0.57737,             0.39958,           0.0073584,           0.0036763,           0.0025905,           0.0020928,           0.0020928,           0.0020928
                  46,            0.019349,           0.0010953,           0.0019713,             0.68338,             0.53444,              0.5764,             0.39891,           0.0073488,           0.0036749,           0.0025962,           0.0020645,           0.0020645,           0.0020645
                  47,            0.019136,           0.0010737,           0.0019494,             0.68838,             0.53437,             0.57611,             0.39855,           0.0073424,           0.0036779,           0.0026044,           0.0020361,           0.0020361,           0.0020361
                  48,            0.019263,           0.0010792,           0.0019563,             0.69275,             0.53354,             0.57534,             0.39778,           0.0073349,           0.0036788,           0.0026179,           0.0020078,           0.0020078,           0.0020078
                  49,            0.019226,           0.0010918,           0.0019582,             0.69414,             0.53436,             0.57411,             0.39655,           0.0073303,           0.0036784,           0.0026455,           0.0019794,           0.0019794,           0.0019794
                  50,            0.019193,           0.0010913,           0.0019498,             0.69601,             0.53617,             0.57338,             0.39619,           0.0073246,           0.0036769,           0.0026563,           0.0019511,           0.0019511,           0.0019511
                  51,            0.019002,           0.0010649,           0.0019333,             0.69848,             0.53531,             0.57271,             0.39556,           0.0073233,           0.0036748,           0.0026703,           0.0019228,           0.0019228,           0.0019228
                  52,            0.019204,           0.0010657,           0.0019433,             0.69552,             0.53613,             0.57253,             0.39543,           0.0073281,           0.0036795,            0.002678,           0.0018944,           0.0018944,           0.0018944
                  53,            0.019104,           0.0010644,           0.0019267,             0.69853,             0.53574,             0.57284,              0.3957,           0.0073263,           0.0036856,           0.0026855,           0.0018661,           0.0018661,           0.0018661
                  54,            0.019019,           0.0010672,           0.0019073,             0.69783,             0.53738,              0.5729,             0.39563,           0.0073163,           0.0036888,           0.0026905,           0.0018377,           0.0018377,           0.0018377
                  55,            0.019134,           0.0010748,           0.0019045,             0.69547,             0.53738,             0.57376,             0.39627,           0.0073079,           0.0036919,           0.0026834,           0.0018094,           0.0018094,           0.0018094
                  56,            0.019043,           0.0010627,           0.0019074,             0.70102,             0.53781,              0.5748,             0.39689,           0.0073149,            0.003694,           0.0026746,            0.001781,            0.001781,            0.001781
                  57,            0.019115,           0.0010603,           0.0019097,             0.69653,             0.53943,             0.57444,             0.39682,           0.0073007,           0.0036961,           0.0026759,           0.0017527,           0.0017527,           0.0017527
                  58,            0.018884,           0.0010587,            0.001899,             0.69627,             0.53892,               0.575,             0.39691,           0.0073001,           0.0036966,           0.0026783,           0.0017243,           0.0017243,           0.0017243
                  59,            0.018992,           0.0010609,           0.0018786,             0.69535,              0.5396,             0.57529,             0.39751,           0.0072818,           0.0036982,           0.0026784,            0.001696,            0.001696,            0.001696
                  60,            0.018843,           0.0010511,           0.0018941,             0.69691,             0.53962,             0.57633,             0.39838,           0.0072692,           0.0036989,           0.0026748,           0.0016677,           0.0016677,           0.0016677
