                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.71945,                0.43098,                0.81486,                0.88597,                0.52797,                0.61227,                0.41356,                0.99768,                0.61834,                0.83835,             0.00092402,             0.00092402,             0.00092402
                     37,                0.70732,                0.43808,                0.81354,                0.87991,                 0.5121,                0.59008,                0.41213,                0.99925,                0.61264,                0.83793,             0.00091852,             0.00091852,             0.00091852
                     38,                0.71328,                0.42136,                 0.8109,                0.86067,                0.51595,                0.60185,                0.41726,                 1.0123,                0.65185,                0.83666,             0.00091302,             0.00091302,             0.00091302
                     39,                 0.7321,                0.43037,                0.81634,                 0.8908,                0.53494,                0.59885,                0.42109,                 1.0091,                0.59182,                0.83683,             0.00090752,             0.00090752,             0.00090752
                     40,                0.71032,                 0.4221,                0.81151,                0.89856,                0.53594,                0.60048,                0.41556,                0.99844,                0.61425,                0.83658,             0.00090202,             0.00090202,             0.00090202
                     41,                0.70604,                 0.4268,                0.80793,                0.87548,                0.52147,                0.59292,                0.41243,                 1.0001,                 0.6149,                 0.8353,             0.00089652,             0.00089652,             0.00089652
                     42,                 0.7142,                0.42275,                0.80893,                0.89694,                0.53807,                0.59962,                0.41203,                0.99288,                0.62009,                0.83778,             0.00089102,             0.00089102,             0.00089102
                     43,                0.70483,                0.42322,                0.81504,                0.85927,                0.54944,                0.60277,                0.40314,                 1.0207,                0.62364,                0.84146,             0.00088552,             0.00088552,             0.00088552
                     44,                0.70259,                0.43027,                0.80947,                0.92567,                0.52689,                0.59026,                0.40347,                 1.0507,                0.63378,                0.84751,             0.00088002,             0.00088002,             0.00088002
                     45,                0.69188,                0.39558,                0.80814,                0.90732,                 0.5282,                0.60713,                0.41981,                0.99047,                0.59958,                 0.8366,             0.00087452,             0.00087452,             0.00087452
                     46,                0.68053,                 0.4041,                 0.8062,                0.88536,                0.54069,                0.61511,                 0.4201,                0.98759,                0.59067,                0.83199,             0.00086902,             0.00086902,             0.00086902
                     47,                0.68529,                 0.4005,                0.81534,                0.89492,                0.54634,                0.60873,                0.42667,                 1.0104,                0.58339,                0.84067,             0.00086352,             0.00086352,             0.00086352
                     48,                0.67597,                0.41333,                0.80407,                0.91073,                0.53291,                0.61148,                0.42178,                 1.0124,                0.59792,                0.83679,             0.00085803,             0.00085803,             0.00085803
                     49,                0.67049,                0.40808,                0.81307,                0.69254,                0.55044,                0.62113,                0.43154,                 1.0294,                0.59584,                0.84371,             0.00085253,             0.00085253,             0.00085253
                     50,                0.68818,                0.41352,                 0.8104,                0.89706,                0.55252,                0.61572,                0.42582,                 1.0075,                0.58597,                0.83451,             0.00084703,             0.00084703,             0.00084703
                     51,                0.68637,                0.40622,                 0.8103,                0.91628,                0.52376,                0.61641,                0.42794,                0.99328,                0.57931,                0.83147,             0.00084153,             0.00084153,             0.00084153
                     52,                0.69326,                0.41715,                0.80938,                0.89359,                0.54029,                  0.605,                0.41772,                0.99786,                 0.5749,                0.83455,             0.00083603,             0.00083603,             0.00083603
                     53,                0.68818,                0.42474,                0.80533,                  0.875,                 0.5465,                0.60334,                0.41382,                  1.029,                0.60272,                0.83876,             0.00083053,             0.00083053,             0.00083053
                     54,                0.67318,                0.40166,                0.80691,                0.91154,                0.52576,                0.61087,                0.42679,                0.99746,                0.58876,                 0.8371,             0.00082503,             0.00082503,             0.00082503
                     55,                0.68408,                0.40953,                0.80518,                0.89422,                0.52989,                0.61256,                0.42697,                 1.0162,                0.62814,                0.84217,             0.00081953,             0.00081953,             0.00081953
                     56,                0.67451,                0.39727,                0.81524,                 0.9004,                0.54789,                0.61173,                0.42874,                0.98455,                0.62176,                0.83546,             0.00081403,             0.00081403,             0.00081403
