               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  34,            0.028118,          0.00076942,           0.0032278,             0.71843,             0.42097,             0.46687,             0.30927,            0.011367,           0.0019577,           0.0030386,           0.0024046,           0.0024046,           0.0024046
                  35,            0.027851,          0.00076477,           0.0031779,             0.71144,             0.42312,             0.46792,             0.30977,            0.011362,           0.0019558,           0.0030289,           0.0023763,           0.0023763,           0.0023763
                  36,            0.028191,          0.00076767,           0.0032194,             0.70265,             0.42433,             0.46835,             0.30995,            0.011362,           0.0019578,           0.0030166,           0.0023479,           0.0023479,           0.0023479
                  37,            0.027915,          0.00075501,           0.0032152,             0.69489,             0.42291,             0.46744,             0.30954,            0.011355,           0.0019585,           0.0030271,           0.0023196,           0.0023196,           0.0023196
                  38,            0.027915,           0.0007549,           0.0032337,             0.69984,             0.42249,             0.46645,             0.30844,            0.011353,           0.0019602,           0.0030555,           0.0022912,           0.0022912,           0.0022912
                  39,             0.02779,          0.00074974,           0.0031669,             0.68869,             0.42071,              0.4651,             0.30746,            0.011352,           0.0019601,           0.0030835,           0.0022629,           0.0022629,           0.0022629
                  40,            0.027811,          0.00075102,           0.0031531,             0.68797,             0.42049,             0.46515,             0.30736,            0.011353,           0.0019602,           0.0030893,           0.0022345,           0.0022345,           0.0022345
                  41,            0.027706,          0.00074961,           0.0031429,             0.68523,             0.41919,             0.46426,             0.30666,            0.011353,           0.0019591,            0.003103,           0.0022062,           0.0022062,           0.0022062
                  42,            0.027803,          0.00074833,           0.0031972,             0.69408,             0.42214,             0.46432,              0.3064,            0.011358,           0.0019595,           0.0031054,           0.0021779,           0.0021779,           0.0021779
                  43,            0.027639,          0.00075669,           0.0031897,             0.70073,             0.42153,             0.46422,             0.30635,            0.011359,           0.0019599,           0.0031048,           0.0021495,           0.0021495,           0.0021495
                  44,             0.02784,          0.00074509,            0.003181,             0.71909,             0.42252,             0.46505,              0.3075,            0.011359,           0.0019586,           0.0031004,           0.0021212,           0.0021212,           0.0021212
                  45,            0.027674,          0.00074848,           0.0031378,             0.72195,             0.42254,              0.4662,             0.30822,            0.011364,           0.0019591,           0.0030917,           0.0020928,           0.0020928,           0.0020928
                  46,             0.02769,          0.00074851,           0.0031524,             0.72263,             0.42224,             0.46654,             0.30828,            0.011363,           0.0019613,           0.0031003,           0.0020645,           0.0020645,           0.0020645
                  47,            0.027435,          0.00073784,            0.003082,             0.71723,             0.42467,              0.4675,             0.30892,            0.011366,           0.0019613,           0.0030914,           0.0020361,           0.0020361,           0.0020361
