                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.00068,                0.11903,                0.08843,                 0.6909,                0.63798,                0.66852,                0.53895,                0.00065,                0.16339,                0.03067,              0.0023479,              0.0023479,              0.0023479
                     38,                0.00068,                0.11883,                0.08851,                0.69101,                0.63996,                0.66888,                0.53937,                0.00064,                0.15913,                0.03044,              0.0023196,              0.0023196,              0.0023196
                     39,                0.00067,                0.11758,                0.08844,                0.69584,                0.64177,                0.67068,                0.54036,                0.00064,                0.15188,                0.03023,              0.0022912,              0.0022912,              0.0022912
                     40,                0.00067,                0.11747,                0.08841,                 0.7014,                0.64236,                0.67208,                0.54156,                0.00063,                0.14642,                0.02977,              0.0022629,              0.0022629,              0.0022629
                     41,                0.00067,                0.11653,                0.08835,                0.70136,                0.64187,                0.67144,                0.54125,                0.00064,                0.14805,                0.02987,              0.0022345,              0.0022345,              0.0022345
                     42,                0.00067,                 0.1166,                0.08843,                0.70152,                0.64244,                0.67146,                0.54125,                0.00064,                0.14489,                0.02967,              0.0022062,              0.0022062,              0.0022062
                     43,                0.00067,                0.11622,                 0.0884,                0.69813,                0.64466,                0.67179,                0.54125,                0.00063,                0.14376,                0.02906,              0.0021779,              0.0021779,              0.0021779
                     44,                0.00067,                0.11492,                 0.0882,                0.69718,                0.64213,                0.67167,                0.54134,                0.00063,                0.14774,                0.02886,              0.0021495,              0.0021495,              0.0021495
                     45,                0.00066,                 0.1149,                0.08836,                0.70009,                0.64246,                0.67257,                0.54158,                0.00063,                0.15107,                0.02859,              0.0021212,              0.0021212,              0.0021212
                     46,                0.00066,                0.11331,                0.08819,                 0.7022,                0.64355,                0.67286,                0.54172,                0.00062,                0.15151,                0.02805,              0.0020928,              0.0020928,              0.0020928
                     47,                    inf,                0.11302,                0.08818,                0.70238,                0.64362,                0.67217,                0.54136,                0.00061,                  0.149,                0.02779,              0.0020645,              0.0020645,              0.0020645
                     48,                0.00066,                0.11351,                0.08824,                0.69958,                0.64229,                0.67109,                0.54082,                0.00059,                0.14912,                0.02775,              0.0020361,              0.0020361,              0.0020361
                     49,                0.00065,                0.11222,                0.08821,                0.70039,                0.64136,                0.67142,                0.54077,                0.00059,                0.15103,                0.02789,              0.0020078,              0.0020078,              0.0020078
                     50,                0.00065,                 0.1122,                0.08817,                0.69969,                0.64166,                0.67159,                0.54107,                0.00059,                0.15295,                0.02793,              0.0019794,              0.0019794,              0.0019794
                     51,                0.00066,                0.11253,                0.08818,                0.70004,                0.64055,                0.67165,                0.54114,                0.00061,                0.15363,                 0.0285,              0.0019511,              0.0019511,              0.0019511
                     52,                0.00066,                0.11176,                0.08813,                0.69873,                0.64122,                0.67117,                0.54075,                 0.0006,                0.15563,                0.02828,              0.0019228,              0.0019228,              0.0019228
                     53,                0.00064,                0.11039,                0.08809,                0.69949,                0.64052,                0.67073,                 0.5405,                0.00061,                0.15466,                0.02853,              0.0018944,              0.0018944,              0.0018944
                     54,                0.00064,                0.10965,                0.08813,                0.70449,                0.64003,                0.67225,                0.54159,                 0.0006,                0.15247,                0.02837,              0.0018661,              0.0018661,              0.0018661
                     55,                0.00064,                0.10865,                0.08803,                 0.7032,                 0.6426,                0.67205,                0.54117,                0.00061,                0.15607,                0.02848,              0.0018377,              0.0018377,              0.0018377
                     56,                    inf,                0.10891,                0.08809,                0.70335,                 0.6422,                0.67122,                0.54071,                 0.0006,                0.15573,                0.02807,              0.0018094,              0.0018094,              0.0018094
                     57,                0.00064,                0.10821,                0.08795,                0.70213,                0.64207,                 0.6703,                0.54021,                0.00061,                0.15848,                0.02822,               0.001781,               0.001781,               0.001781
                     58,                0.00064,                0.10734,                0.08798,                0.70469,                0.64146,                0.67053,                0.54014,                0.00061,                0.15484,                0.02827,              0.0017527,              0.0017527,              0.0017527
                     59,                    inf,                0.10874,                0.08809,                0.70578,                0.64214,                0.67125,                0.54104,                0.00061,                0.14988,                0.02847,              0.0017243,              0.0017243,              0.0017243
                     60,                0.00063,                0.10741,                0.08805,                0.70415,                0.64103,                0.67022,                0.54052,                0.00062,                0.15116,                0.02872,               0.001696,               0.001696,               0.001696
                     61,                0.00063,                0.10559,                0.08787,                0.70603,                0.64119,                0.67145,                0.54119,                0.00062,                0.15031,                0.02889,              0.0016677,              0.0016677,              0.0016677
                     62,                0.00064,                0.10692,                  0.088,                0.70821,                 0.6426,                0.67249,                0.54136,                0.00062,                0.15047,                0.02876,              0.0016393,              0.0016393,              0.0016393
                     63,                0.00064,                0.10609,                0.08796,                0.70453,                0.64781,                  0.672,                0.54074,                0.00061,                0.15244,                0.02832,               0.001611,               0.001611,               0.001611
                     64,                0.00063,                0.10564,                0.08797,                0.70551,                0.64753,                0.67216,                0.54143,                0.00061,                0.15233,                0.02801,              0.0015826,              0.0015826,              0.0015826
                     65,                0.00063,                0.10524,                0.08788,                0.70311,                0.64652,                0.67167,                 0.5412,                 0.0006,                0.15371,                0.02754,              0.0015543,              0.0015543,              0.0015543
                     66,                0.00063,                0.10379,                0.08788,                0.70237,                0.64386,                 0.6705,                0.54012,                 0.0006,                 0.1584,                0.02759,              0.0015259,              0.0015259,              0.0015259
                     67,                0.00062,                0.10338,                0.08785,                0.70202,                0.64206,                0.66902,                0.53899,                0.00061,                0.16307,                0.02787,              0.0014976,              0.0014976,              0.0014976
                     68,                0.00062,                 0.1035,                0.08779,                0.69678,                0.64756,                0.66808,                0.53795,                0.00061,                0.16656,                  0.028,              0.0014692,              0.0014692,              0.0014692
                     69,                    inf,                0.10215,                0.08776,                 0.6966,                0.64852,                 0.6682,                0.53771,                0.00061,                0.16906,                0.02788,              0.0014409,              0.0014409,              0.0014409
                     70,                0.00062,                0.10246,                0.08773,                0.69443,                0.64981,                0.66815,                0.53775,                 0.0006,                0.17148,                0.02748,              0.0014125,              0.0014125,              0.0014125
                     71,                0.00062,                0.10198,                0.08778,                0.69393,                0.64836,                 0.6679,                0.53775,                0.00059,                0.17189,                0.02695,              0.0013842,              0.0013842,              0.0013842
                     72,                0.00061,                0.10128,                0.08765,                0.69402,                0.64638,                0.66806,                0.53769,                0.00059,                0.17269,                0.02678,              0.0013559,              0.0013559,              0.0013559
                     73,                0.00061,                0.10105,                0.08776,                0.69246,                0.64689,                0.66784,                0.53735,                0.00058,                0.17064,                0.02649,              0.0013275,              0.0013275,              0.0013275
                     74,                0.00062,                0.10127,                 0.0878,                0.69288,                 0.6487,                0.66697,                 0.5365,                0.00057,                0.17223,                0.02628,              0.0012992,              0.0012992,              0.0012992
                     75,                0.00061,                 0.1008,                0.08774,                0.69048,                0.64839,                0.66636,                0.53536,                0.00057,                0.17472,                0.02605,              0.0012708,              0.0012708,              0.0012708
                     76,                0.00061,                 0.0999,                 0.0877,                0.68777,                 0.6469,                0.66521,                0.53486,                0.00057,                  0.177,                0.02596,              0.0012425,              0.0012425,              0.0012425
                     77,                0.00062,                0.10066,                0.08776,                0.68851,                0.64816,                0.66578,                0.53553,                0.00056,                0.17841,                0.02593,              0.0012141,              0.0012141,              0.0012141
                     78,                    inf,                0.09964,                0.08769,                0.68975,                0.64751,                0.66599,                0.53621,                0.00057,                0.17819,                0.02593,              0.0011858,              0.0011858,              0.0011858
                     79,                 0.0006,                0.09789,                0.08771,                0.68923,                0.64835,                0.66624,                0.53696,                0.00056,                0.17647,                0.02558,              0.0011574,              0.0011574,              0.0011574
                     80,                 0.0006,                0.09766,                0.08771,                0.68727,                0.64833,                0.66676,                0.53723,                0.00056,                0.17662,                0.02559,              0.0011291,              0.0011291,              0.0011291
                     81,                0.00061,                 0.0976,                0.08759,                0.69366,                0.64502,                0.66707,                0.53795,                0.00057,                0.17439,                 0.0259,              0.0011008,              0.0011008,              0.0011008
                     82,                    inf,                0.09624,                0.08757,                0.68965,                0.64827,                0.66568,                0.53641,                0.00057,                0.18147,                0.02612,              0.0010724,              0.0010724,              0.0010724
                     83,                 0.0006,                0.09604,                0.08755,                0.68974,                0.64846,                 0.6657,                0.53591,                0.00059,                0.18677,                0.02658,              0.0010441,              0.0010441,              0.0010441
                     84,                0.00059,                0.09512,                0.08753,                0.68602,                0.64838,                 0.6638,                0.53414,                 0.0006,                0.19274,                0.02711,              0.0010157,              0.0010157,              0.0010157
                     85,                0.00059,                0.09465,                0.08738,                0.68528,                0.64892,                0.66334,                0.53402,                0.00061,                0.19614,                0.02745,             0.00098737,             0.00098737,             0.00098737
                     86,                0.00059,                0.09427,                0.08749,                0.68681,                0.64837,                0.66474,                0.53529,                0.00062,                  0.195,                0.02793,             0.00095903,             0.00095903,             0.00095903
                     87,                0.00059,                0.09354,                0.08747,                0.69111,                 0.6453,                0.66635,                0.53697,                0.00063,                0.19307,                0.02805,             0.00093068,             0.00093068,             0.00093068
                     88,                0.00058,                0.09261,                0.08738,                0.69293,                0.64644,                0.66615,                0.53681,                0.00064,                0.19142,                0.02837,             0.00090234,             0.00090234,             0.00090234
                     89,                    inf,                0.09232,                0.08734,                0.69647,                0.65255,                0.66777,                0.53838,                0.00064,                0.18632,                0.02858,             0.00087399,             0.00087399,             0.00087399
                     90,                0.00058,                 0.0919,                0.08733,                0.69385,                0.65424,                0.66698,                0.53724,                0.00064,                0.18677,                 0.0283,             0.00084565,             0.00084565,             0.00084565
                     91,                0.00058,                0.09124,                0.08735,                0.69444,                0.65431,                0.66637,                0.53681,                0.00063,                0.18651,                0.02796,              0.0008173,              0.0008173,              0.0008173
                     92,                0.00058,                0.09127,                0.08739,                0.69703,                0.65317,                0.66725,                0.53765,                0.00063,                0.18543,                0.02789,             0.00078896,             0.00078896,             0.00078896
                     93,                    inf,                0.09002,                0.08723,                0.69446,                0.65254,                0.66864,                0.53934,                0.00063,                0.18736,                0.02778,             0.00076061,             0.00076061,             0.00076061
                     94,                    inf,                0.08902,                0.08721,                0.69493,                0.65343,                0.67031,                0.54057,                0.00062,                0.18349,                0.02743,             0.00073227,             0.00073227,             0.00073227
                     95,                0.00056,                0.08866,                0.08722,                0.69467,                0.65386,                 0.6707,                0.54055,                0.00062,                0.18646,                0.02727,             0.00070392,             0.00070392,             0.00070392
                     96,                0.00056,                0.08802,                 0.0872,                0.69604,                0.65249,                0.67037,                0.54017,                0.00063,                0.18904,                 0.0279,             0.00067558,             0.00067558,             0.00067558
                     97,                0.00056,                0.08721,                0.08717,                0.70136,                0.65238,                0.67226,                 0.5418,                0.00063,                0.18672,                0.02803,             0.00064723,             0.00064723,             0.00064723
                     98,                0.00056,                0.08672,                0.08717,                 0.6996,                0.65322,                0.67309,                0.54328,                0.00062,                0.18794,                 0.0277,             0.00061889,             0.00061889,             0.00061889
                     99,                    inf,                0.08605,                0.08712,                0.69897,                0.65184,                0.67363,                0.54384,                0.00062,                0.19013,                0.02765,             0.00059054,             0.00059054,             0.00059054
                    100,                0.00055,                 0.0857,                0.08707,                0.69377,                0.65341,                0.67203,                0.54279,                0.00064,                0.19796,                0.02832,              0.0005622,              0.0005622,              0.0005622
